id,description,score,cluster,label,x,y
CVE-2024-21732,FlyCms through abbaa5a allows XSS via the permission management feature.,2.8,0,"citation, adversaries, network",11.161376,13.368632
CVE-2023-5877,"The affiliate-toolkit WordPress plugin before 3.4.3 lacks authorization and authentication for requests to it's affiliate-toolkit-starter/tools/atkp_imagereceiver.php endpoint, allowing unauthenticated visitors to make requests to arbitrary URL's, including RFC1918 private addresses, leading to a Server Side Request Forgery (SSRF) issue.",3.9,0,"citation, adversaries, network",21.739105,-30.510815
CVE-2023-6000,"The Popup Builder WordPress plugin before 4.2.3 does not prevent simple visitors from updating existing popups, and injecting raw JavaScript in them, which could lead to Stored XSS attacks.",2.8,0,"citation, adversaries, network",-29.575056,-29.296494
CVE-2023-6037,"The WP TripAdvisor Review Slider WordPress plugin before 11.9 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks even when the unfiltered_html capability is disallowed (for example in multisite setup)",1.7,0,"citation, adversaries, network",-28.686378,-30.182297
CVE-2023-6064,The PayHere Payment Gateway WordPress plugin before 2.2.12 automatically creates publicly-accessible log files containing sensitive information when transactions occur.,3.9,0,"citation, adversaries, network",27.430456,-9.39441
CVE-2023-6113,"The WP STAGING WordPress Backup Plugin before 3.1.3 and WP STAGING Pro WordPress Backup Plugin before 5.1.3 do not prevent visitors from leaking key information about ongoing backups processes, allowing unauthenticated attackers to download said backups later.",3.9,0,"citation, adversaries, network",28.960695,-9.681442
CVE-2023-6271,"The Backup Migration WordPress plugin before 1.3.6 stores in-progress backups information in easy to find, publicly-accessible files, which may allow attackers monitoring those to leak sensitive information from the site's backups.",3.9,0,"citation, adversaries, network",28.519188,-9.604893
CVE-2023-6421,"The Download Manager WordPress plugin before 3.2.83 does not protect file download's passwords, leaking it upon receiving an invalid one.",3.9,0,"citation, adversaries, network",-25.645412,-1.828654
CVE-2023-6485,"The Html5 Video Player WordPress plugin before 2.5.19 does not sanitise and escape some of its player settings, which combined with missing capability checks around the plugin could allow any authenticated users, such as low as subscribers to perform Stored Cross-Site Scripting attacks against high privilege users like admins",2.3,0,"citation, adversaries, network",-28.578064,-30.280865
CVE-2024-0181,A vulnerability was found in RRJ Nueva Ecija Engineer Online Portal 1.0. It has been declared as problematic. Affected by this vulnerability is an unknown functionality of the file /admin/admin_user.php of the component Admin Panel. The manipulation of the argument Firstname/Lastname/Username leads to cross site scripting. The attack can be launched remotely. The exploit has been disclosed to the public and may be used. The identifier VDB-249433 was assigned to this vulnerability.,0.9,0,"citation, adversaries, network",-23.343348,-37.54304
